ticket_id,customer_id,ticket_date,category,status,priority,channel,resolution_time_hours,sentiment,satisfaction_score
TKT00001,CUST02244,2025-09-29,Account Management,In Progress,Low,Email,,Negative,
TKT00002,CUST02711,2024-05-14,Payment Issue,In Progress,Medium,Email,,Negative,
TKT00003,CUST02711,2024-06-26,Technical Support,In Progress,Low,Chat,,Neutral,
TKT00004,CUST03310,2020-03-01,Product Question,Resolved,Low,Email,10.0,Neutral,5.0
TKT00005,CUST04099,2024-10-23,Account Management,In Progress,Medium,Chat,,Negative,
TKT00006,CUST04099,2025-05-27,Shipping Inquiry,Resolved,High,Phone,11.0,Neutral,4.0
TKT00007,CUST04099,2024-04-06,Return Request,Resolved,Low,Chat,54.0,Positive,3.0
TKT00008,CUST04099,2025-03-27,Order Issue,Resolved,Low,Email,29.0,Positive,4.0
TKT00009,CUST00204,2020-07-06,Account Management,Closed,Medium,Chat,49.0,Positive,4.0
TKT00010,CUST02095,2022-04-10,Shipping Inquiry,Closed,High,Email,102.0,Positive,4.0
TKT00011,CUST02095,2021-10-11,Product Question,Resolved,High,Email,21.0,Positive,4.0
TKT00012,CUST02095,2021-08-11,Return Request,Closed,Medium,Email,108.0,Neutral,5.0
TKT00013,CUST02095,2022-03-16,Payment Issue,Resolved,Low,Chat,58.0,Neutral,3.0
TKT00014,CUST02095,2022-05-29,Return Request,Resolved,Medium,Social Media,3.0,Positive,2.0
TKT00015,CUST01198,2024-10-29,Return Request,Closed,Medium,Chat,113.0,Positive,4.0
TKT00016,CUST01198,2025-04-04,Return Request,Closed,Low,Chat,48.0,Positive,4.0
TKT00017,CUST01198,2025-08-29,Technical Support,Resolved,Low,Phone,47.0,Neutral,4.0
TKT00018,CUST01198,2025-01-30,Shipping Inquiry,Closed,Medium,Email,52.0,Neutral,5.0
TKT00019,CUST00084,2024-05-31,Technical Support,Open,Medium,Email,,Neutral,
TKT00020,CUST04139,2021-03-11,Order Issue,Resolved,Low,Phone,32.0,Positive,2.0
TKT00021,CUST04139,2021-09-11,Payment Issue,Closed,Low,Email,86.0,Positive,3.0
TKT00022,CUST04139,2022-06-17,Account Management,Resolved,Low,Phone,64.0,Positive,3.0
TKT00023,CUST04139,2020-12-24,Order Issue,Open,Medium,Email,,Neutral,
TKT00024,CUST04139,2022-02-08,General Inquiry,Closed,High,Chat,63.0,Positive,4.0
