response_id,customer_id,campaign_name,campaign_type,sent_date,delivered,opened,clicked,converted,unsubscribed
RESP000001,CUST00001,Welcome Series,Display Ads,2024-05-24,True,True,False,False,False
RESP000002,CUST00001,Product Launch - Electronics,Email,2023-11-29,True,False,False,False,False
RESP000003,CUST00001,Welcome Series,Email,2024-12-28,True,False,False,False,False
RESP000004,CUST00001,Product Launch - Electronics,SMS,2024-02-19,True,False,False,False,False
RESP000005,CUST00001,Customer Appreciation Week,Push Notification,2023-12-03,True,False,False,False,False
RESP000006,CUST00002,Black Friday 2024,Email,2023-05-20,True,False,False,False,False
RESP000007,CUST00002,Product Launch - Electronics,Email,2023-08-14,True,False,False,False,False
RESP000008,CUST00002,Spring Sale 2024,Email,2024-06-13,True,False,False,False,False
RESP000009,CUST00002,Customer Appreciation Week,Email,2023-05-31,True,False,False,False,False
RESP000010,CUST00002,Spring Sale 2024,Social Media,2023-04-08,True,False,False,False,False
RESP000011,CUST00003,Black Friday 2024,Email,2021-12-25,True,False,False,False,False
RESP000012,CUST00003,New Year Promotion 2025,Social Media,2022-03-18,True,True,False,False,False
RESP000013,CUST00004,Holiday Gift Guide 2024,Email,2022-08-02,True,False,False,False,False
RESP000014,CUST00004,Loyalty Rewards Program,Social Media,2022-07-23,True,True,False,False,False
RESP000015,CUST00004,Loyalty Rewards Program,Email,2021-11-19,True,False,False,False,False
RESP000016,CUST00005,Product Launch - Electronics,Push Notification,2021-03-15,True,True,False,False,False
RESP000017,CUST00005,Win-back Campaign Q3,Social Media,2020-12-22,True,False,False,False,False
RESP000018,CUST00005,Black Friday 2024,Display Ads,2022-01-25,True,True,True,False,False
RESP000019,CUST00005,Summer Collection Launch,Display Ads,2021-02-15,True,True,False,False,False
RESP000020,CUST00006,Black Friday 2024,Display Ads,2024-05-16,True,False,False,False,False
RESP000021,CUST00006,Spring Sale 2024,Email,2025-08-27,True,True,False,False,False
RESP000022,CUST00006,Holiday Gift Guide 2024,Email,2025-05-26,True,False,False,False,False
RESP000023,CUST00006,Summer Collection Launch,Email,2024-05-19,True,False,False,False,False
RESP000024,CUST00006,Spring Sale 2024,Social Media,2025-10-08,True,False,False,False,False
RESP000025,CUST00007,Customer Appreciation Week,SMS,2023-02-04,True,True,False,False,False
RESP000026,CUST00007,Summer Collection Launch,Email,2022-10-27,True,False,False,False,False
RESP000027,CUST00007,Win-back Campaign Q3,Email,2023-01-15,False,False,False,False,False
RESP000028,CUST00008,Customer Appreciation Week,Email,2025-06-13,True,True,False,False,False
RESP000029,CUST00008,Customer Appreciation Week,Display Ads,2024-08-22,True,False,False,False,False
RESP000030,CUST00009,Win-back Campaign Q3,Display Ads,2024-05-11,True,False,False,False,False
RESP000031,CUST00009,Loyalty Rewards Program,Push Notification,2022-11-26,True,False,False,False,False
RESP000032,CUST00009,Black Friday 2024,Display Ads,2022-10-28,False,False,False,False,False
RESP000033,CUST00009,Product Launch - Electronics,Email,2023-02-07,True,False,False,False,False
RESP000034,CUST00010,Summer Collection Launch,Email,2024-01-23,True,False,False,False,False
RESP000035,CUST00010,Summer Collection Launch,SMS,2025-03-27,True,True,False,False,False
RESP000036,CUST00010,Summer Collection Launch,Email,2024-04-06,True,False,False,False,False
RESP000037,CUST00010,Spring Sale 2024,Display Ads,2023-12-18,False,False,False,False,False
RESP000038,CUST00010,Win-back Campaign Q3,Email,2023-08-29,True,True,False,False,False
RESP000039,CUST00010,Loyalty Rewards Program,Email,2025-07-11,True,False,False,False,False
RESP000040,CUST00011,New Year Promotion 2025,SMS,2024-03-01,True,False,False,False,False
RESP000041,CUST00011,Holiday Gift Guide 2024,Email,2023-01-14,True,False,False,False,False
RESP000042,CUST00011,Customer Appreciation Week,Email,2022-12-05,True,False,False,False,False
RESP000043,CUST00011,Customer Appreciation Week,SMS,2024-01-11,True,False,False,False,False
RESP000044,CUST00011,Back to School 2024,Email,2023-11-25,True,False,False,False,False
RESP000045,CUST00012,Black Friday 2024,SMS,2024-11-17,True,False,False,False,False
RESP000046,CUST00012,Welcome Series,Email,2024-08-28,True,False,False,False,False
RESP000047,CUST00012,Summer Collection Launch,Push Notification,2023-03-15,True,False,False,False,False
RESP000048,CUST00012,New Year Promotion 2025,SMS,2024-01-24,False,False,False,False,False
RESP000049,CUST00012,New Year Promotion 2025,Email,2023-07-06,True,False,False,False,False
RESP000050,CUST00013,Customer Appreciation Week,Email,2024-05-25,True,False,False,False,False
RESP000051,CUST00013,Summer Collection Launch,Email,2023-12-08,True,True,False,False,False
RESP000052,CUST00014,Holiday Gift Guide 2024,Display Ads,2025-06-22,True,True,False,False,False
