customer_id,purchase_frequency,avg_order_value,total_revenue,customer_tenure_months,email_engagement_score,product_categories_purchased,avg_days_between_purchase,days_since_last_purchase,refund_rate,predicted_clv,clv_segment,segment_score
CUST00001,7,82.85,579.95,17,0.75,1,25,41,0.125,1733.81,Potential Loyalists,3
CUST00002,2,65.69,131.38,5,0.29,1,90,29,0.02,182.4,Need Attention,1
CUST00003,16,78.61,1257.76,9,0.34,1,11,1,0.145,2957.31,Loyal Customers,4
CUST00004,2,158.93,317.86,12,0.17,4,90,71,0.019,623.64,Promising,2
CUST00005,5,27.78,138.9,2,0.6,1,36,32,0.009,298.24,Need Attention,1
CUST00006,1,34.81,34.81,19,0.16,4,180,58,0.006,89.39,Need Attention,1
CUST00007,2,129.93,259.86,25,0.43,4,90,36,0.054,757.97,Promising,2
CUST00008,3,70.37,211.11,29,0.14,3,60,95,0.055,681.62,Promising,2
CUST00009,4,230.16,920.64,1,0.57,4,45,14,0.011,986.39,Promising,2
CUST00010,2,140.64,281.28,7,0.14,1,90,174,0.095,403.05,Need Attention,1
CUST00011,2,73.95,147.9,6,0.29,1,90,140,0.019,217.63,Need Attention,1
CUST00012,5,26.75,133.75,3,0.96,1,36,12,0.046,287.09,Need Attention,1
CUST00013,3,107.87,323.61,8,0.08,1,60,76,0.08,496.2,Need Attention,1
CUST00014,15,207.55,3113.25,3,0.8,3,12,14,0.062,6570.51,Champions,5
CUST00015,1,93.8,93.8,3,0.28,2,180,9,0.006,116.55,Need Attention,1
CUST00016,3,125.67,377.01,25,0.55,4,60,4,0.101,1045.04,Potential Loyalists,3
CUST00017,1,40.76,40.76,15,0.25,1,180,24,0.082,84.19,Need Attention,1
CUST00018,5,43.38,216.9,25,0.89,3,36,28,0.043,847.59,Promising,2
CUST00019,9,280.92,2528.28,7,0.34,3,20,15,0.036,6296.26,Champions,5
CUST00020,1,88.17,88.17,3,0.55,5,180,130,0.101,99.08,Need Attention,1
CUST00021,6,86.17,517.02,3,0.54,4,30,39,0.064,1088.84,Potential Loyalists,3
CUST00022,5,55.4,277.0,25,0.44,2,36,4,0.063,1059.83,Potential Loyalists,3
CUST00023,7,908.36,6358.52,15,0.72,2,25,36,0.005,20561.86,Champions,5
CUST00024,4,65.31,261.24,1,0.37,2,45,26,0.056,267.16,Need Attention,1
CUST00025,2,102.5,205.0,9,0.1,2,90,167,0.016,353.01,Need Attention,1
CUST00026,3,33.07,99.21,4,0.57,3,60,90,0.06,124.34,Need Attention,1
CUST00027,30,167.25,5017.5,1,0.59,2,6,9,0.022,10223.16,Champions,5
CUST00028,1,41.26,41.26,42,0.32,4,180,108,0.071,172.49,Need Attention,1
CUST00029,5,62.79,313.95,9,0.9,2,36,29,0.03,837.46,Promising,2
CUST00030,6,84.34,506.04,5,0.75,3,30,29,0.04,1174.01,Potential Loyalists,3
CUST00031,9,131.34,1182.06,3,0.88,2,20,38,0.153,2252.71,Potential Loyalists,3
CUST00032,18,69.15,1244.7,6,0.44,4,10,9,0.024,3037.07,Loyal Customers,4
CUST00033,5,83.26,416.3,9,0.94,3,36,1,0.073,1061.25,Potential Loyalists,3
CUST00034,2,89.54,179.08,1,0.62,3,90,41,0.05,184.3,Need Attention,1
