customer_id,recency_days,frequency,monetary_value,avg_order_value,total_events,days_since_last_activity,page_views,product_views,cart_adds,engagement_score,num_support_tickets,avg_satisfaction_score,campaigns_received,email_open_rate,email_click_rate,campaign_conversions,customer_lifetime_value,churn_risk
CUST00001,425.0,2,129.1,64.55,30,290.0,12,3,1,12.5,0,,5,0.2,0.0,0,129.1,Medium
CUST00002,366.0,4,368.3,92.08,15,287.0,9,0,2,8.5,1,,5,0.0,0.0,0,368.3,High
CUST00003,1208.0,10,1951.18,195.12,5,1318.0,1,0,1,2.5,0,,2,0.5,0.0,0,1951.18,High
CUST00004,806.0,8,2585.69,323.21,5,952.0,1,0,1,2.5,0,,3,0.333,0.0,0,2585.69,High
CUST00005,1348.0,1,52.5,52.5,10,1300.0,2,1,2,6.5,3,4.33,4,0.75,0.333,0,52.5,High
CUST00006,204.0,5,1750.53,350.11,5,55.0,0,0,0,0.0,2,3.0,5,0.2,0.0,0,1750.53,High
CUST00007,1216.0,0,0.0,0.0,15,595.0,5,0,2,6.5,1,4.0,3,0.5,0.0,0,0.0,High
CUST00008,595.0,0,0.0,0.0,5,12.0,0,0,2,4.0,0,,2,0.5,0.0,0,0.0,High
CUST00009,959.0,2,301.75,150.88,5,464.0,4,0,0,2.0,0,,4,0.0,0.0,0,301.75,High
CUST00010,182.0,4,391.65,97.91,25,113.0,8,1,3,11.5,0,,6,0.4,0.0,0,391.65,Medium
CUST00011,575.0,3,429.77,143.26,20,554.0,8,3,1,10.5,0,,5,0.0,0.0,0,429.77,Medium
CUST00012,329.0,6,1469.47,244.91,5,433.0,4,0,0,2.0,0,,5,0.0,0.0,0,1469.47,High
CUST00013,635.0,5,179.63,35.93,25,524.0,8,3,3,14.5,0,,2,0.5,0.0,0,179.63,Medium
CUST00014,254.0,2,163.97,81.98,15,85.0,5,1,0,4.0,0,,2,1.0,0.0,0,163.97,High
CUST00015,3.0,12,3567.5,297.29,20,171.0,6,6,1,14.0,1,3.0,3,0.333,1.0,0,3567.5,Low
CUST00016,1485.0,6,1534.48,255.75,20,1376.0,6,3,0,7.5,0,,3,0.5,0.0,0,1534.48,High
CUST00017,1274.0,7,396.92,56.7,5,1032.0,2,2,0,4.0,0,,2,0.0,0.0,0,396.92,High
CUST00018,575.0,6,660.91,110.15,15,680.0,4,2,2,9.0,0,,6,0.5,0.0,0,660.91,High
CUST00019,191.0,19,2521.81,132.73,20,193.0,11,0,1,7.5,1,,3,0.333,0.0,0,2521.81,High
CUST00020,346.0,1,74.38,74.38,10,144.0,1,0,3,6.5,0,,5,0.5,0.5,1,74.38,High
CUST00021,1648.0,0,0.0,0.0,15,958.0,4,2,2,9.0,1,4.0,6,0.5,0.5,0,0.0,High
CUST00022,1469.0,0,0.0,0.0,30,774.0,9,6,5,23.5,0,,3,0.667,0.0,0,0.0,Low
CUST00023,1279.0,0,0.0,0.0,10,559.0,3,1,2,7.0,1,4.0,6,0.25,1.0,0,0.0,High
CUST00024,501.0,1,114.21,114.21,15,495.0,6,1,3,10.5,1,4.0,3,0.0,0.0,0,114.21,Medium
CUST00025,470.0,1,352.96,352.96,10,210.0,2,2,0,4.0,0,,3,0.0,0.0,0,352.96,High
CUST00026,167.0,1,159.41,159.41,5,204.0,1,2,0,3.5,0,,6,0.333,0.0,0,159.41,Medium
CUST00027,787.0,9,726.38,80.71,10,835.0,1,0,1,2.5,0,,4,0.0,0.0,0,726.38,High
CUST00028,783.0,12,701.55,58.46,10,890.0,5,2,1,7.5,0,,3,0.0,0.0,0,701.55,High
CUST00029,62.0,4,633.91,158.48,15,19.0,7,3,1,10.0,1,2.0,3,0.333,0.0,0,633.91,Low
CUST00030,1203.0,12,2527.95,210.66,25,1184.0,8,3,1,10.5,2,4.0,4,0.25,0.0,0,2527.95,Medium
CUST00031,32.0,5,1587.03,317.41,25,6.0,11,1,3,13.0,0,,3,0.667,0.5,0,1587.03,Low
CUST00032,641.0,0,0.0,0.0,5,44.0,1,1,1,4.0,4,3.25,3,0.333,0.0,0,0.0,High
CUST00033,1134.0,0,0.0,0.0,20,409.0,3,0,1,3.5,0,,2,0.0,0.0,0,0.0,High
CUST00034,625.0,20,3042.52,152.13,20,638.0,9,2,0,7.5,0,,4,0.5,0.0,0,3042.52,High
CUST00035,1425.0,6,672.44,112.07,15,1397.0,5,2,4,13.5,0,,6,0.0,0.0,0,672.44,Medium
CUST00036,458.0,7,1044.2,149.17,10,526.0,3,1,2,7.0,0,,5,0.25,1.0,0,1044.2,High
CUST00037,1218.0,5,396.71,79.34,15,1254.0,3,1,1,5.0,1,2.0,5,0.2,0.0,0,396.71,High
CUST00038,726.0,14,2926.78,209.06,10,691.0,3,0,0,1.5,1,,6,0.2,1.0,0,2926.78,High
CUST00039,1447.0,1,18.81,18.81,5,1387.0,1,1,0,2.0,2,4.5,3,0.0,0.0,0,18.81,High
CUST00040,199.0,3,1221.87,407.29,5,16.0,3,1,1,5.0,0,,0,0.0,0.0,0,1221.87,High
CUST00041,36.0,9,608.69,67.63,5,42.0,1,0,1,2.5,0,,3,0.333,0.0,0,608.69,Low
CUST00042,7.0,3,397.89,132.63,30,2.0,12,2,2,13.0,0,,6,0.167,1.0,0,397.89,Low
CUST00043,468.0,4,2409.91,602.48,5,315.0,1,0,3,6.5,2,4.0,3,0.0,0.0,0,2409.91,High
CUST00044,812.0,5,1153.43,230.69,10,760.0,2,2,3,10.0,0,,3,0.333,0.0,0,1153.43,Medium
CUST00045,1410.0,0,0.0,0.0,10,719.0,5,1,1,6.0,0,,7,0.167,1.0,0,0.0,High
CUST00046,762.0,4,400.74,100.18,10,773.0,3,1,0,3.0,1,,5,0.25,0.0,0,400.74,High
CUST00047,242.0,9,1531.41,170.16,20,264.0,5,2,2,9.5,0,,4,0.0,0.0,0,1531.41,High
CUST00048,857.0,3,465.19,155.06,5,1124.0,2,0,0,1.0,0,,6,0.0,0.0,0,465.19,High
CUST00049,1217.0,10,1939.77,193.98,25,1222.0,8,4,2,14.0,0,,5,0.0,0.0,0,1939.77,Medium
CUST00050,565.0,7,838.18,119.74,20,472.0,7,2,0,6.5,0,,2,0.0,0.0,0,838.18,High
CUST00051,27.0,10,955.42,95.54,5,9.0,1,0,0,0.5,2,3.0,2,0.0,0.0,0,955.42,Low
CUST00052,780.0,5,759.99,152.0,15,778.0,3,3,3,12.0,0,,4,0.0,0.0,0,759.99,Medium
CUST00053,1347.0,7,891.71,127.39,30,893.0,10,3,5,19.5,2,4.0,6,0.333,0.5,0,891.71,Medium
CUST00054,787.0,1,97.34,97.34,30,126.0,15,1,4,17.0,0,,3,0.0,0.0,0,97.34,Medium
CUST00055,1386.0,0,0.0,0.0,25,665.0,11,1,5,17.0,2,5.0,3,0.0,0.0,0,0.0,Medium
CUST00056,651.0,7,883.75,126.25,5,842.0,0,1,1,3.5,0,,0,0.0,0.0,0,883.75,High
CUST00057,150.0,12,2360.6,196.72,10,130.0,4,1,2,7.5,2,3.5,0,0.0,0.0,0,2360.6,Medium
CUST00058,203.0,6,1039.09,173.18,15,30.0,1,1,4,10.0,3,5.0,5,0.4,0.5,0,1039.09,Medium
CUST00059,1509.0,3,165.68,55.23,15,1249.0,6,1,1,6.5,1,4.0,4,0.5,0.0,0,165.68,High
CUST00060,971.0,1,345.5,345.5,5,399.0,2,0,0,1.0,2,4.0,3,0.0,0.0,0,345.5,High
CUST00061,659.0,9,1778.57,197.62,25,634.0,7,2,1,8.5,0,,6,0.667,0.5,0,1778.57,High
CUST00062,780.0,8,1276.89,159.61,15,663.0,5,0,2,6.5,3,4.67,2,0.0,0.0,0,1276.89,High
CUST00063,409.0,1,37.72,37.72,10,76.0,4,0,2,6.0,0,,2,0.0,0.0,0,37.72,High
CUST00064,234.0,5,649.26,129.85,25,212.0,14,1,4,16.5,0,,2,0.0,0.0,0,649.26,Medium
CUST00065,1702.0,0,0.0,0.0,20,976.0,8,3,2,12.5,0,,3,0.333,0.0,0,0.0,Medium
CUST00066,112.0,5,534.53,106.91,15,8.0,7,2,1,8.5,2,,4,0.5,0.5,1,534.53,Medium
CUST00067,231.0,9,1004.36,111.6,15,246.0,2,0,3,7.0,0,,4,0.0,0.0,0,1004.36,High
