session_id,customer_id,event_number,event_type,event_timestamp,device_type,traffic_source,time_on_page_sec,hour_of_day,day_of_week,time_since_last_event
SESS0000001,CUST02620,1,Homepage,2025-01-29 00:47:00,Mobile,Direct,219,0,2,0.0
SESS0000001,CUST02620,2,Search,2025-01-29 00:47:15,Mobile,Direct,92,0,2,15.0
SESS0000001,CUST02620,3,Product_View,2025-01-29 00:49:04,Mobile,Direct,156,0,2,109.0
SESS0000001,CUST02620,4,Add_to_Cart,2025-01-29 00:49:11,Mobile,Direct,154,0,2,7.0
SESS0000001,CUST02620,5,Exit,2025-01-29 00:50:08,Mobile,Direct,0,0,2,57.0
SESS0000002,CUST01127,1,Homepage,2025-03-04 07:08:00,Tablet,Email,26,7,1,0.0
SESS0000002,CUST01127,2,Search,2025-03-04 07:08:48,Tablet,Email,53,7,1,48.0
SESS0000002,CUST01127,3,Exit,2025-03-04 07:09:19,Tablet,Email,0,7,1,31.0
SESS0000003,CUST00420,1,Homepage,2025-06-23 23:57:00,Desktop,Organic,179,23,0,0.0
SESS0000003,CUST00420,2,Search,2025-06-23 23:57:55,Desktop,Organic,59,23,0,55.0
SESS0000003,CUST00420,3,Product_View,2025-06-23 23:59:08,Desktop,Organic,135,23,0,73.0
SESS0000003,CUST00420,4,Exit,2025-06-23 23:59:49,Desktop,Organic,0,23,0,41.0
SESS0000004,CUST02234,1,Homepage,2025-01-23 18:27:00,Desktop,Organic,246,18,3,0.0
SESS0000004,CUST02234,2,Category_Browse,2025-01-23 18:27:18,Desktop,Organic,57,18,3,18.0
SESS0000004,CUST02234,3,Product_View,2025-01-23 18:27:29,Desktop,Organic,96,18,3,11.0
SESS0000004,CUST02234,4,Product_View,2025-01-23 18:28:38,Desktop,Organic,268,18,3,69.0
SESS0000004,CUST02234,5,Add_to_Cart,2025-01-23 18:29:29,Desktop,Organic,39,18,3,51.0
SESS0000004,CUST02234,6,Checkout_Start,2025-01-23 18:31:19,Desktop,Organic,54,18,3,110.0
SESS0000004,CUST02234,7,Payment_Info,2025-01-23 18:33:32,Desktop,Organic,6,18,3,133.0
SESS0000004,CUST02234,8,Order_Complete,2025-01-23 18:33:42,Desktop,Organic,58,18,3,10.0
SESS0000005,CUST00131,1,Homepage,2025-01-08 02:13:00,Mobile,Organic,274,2,2,0.0
SESS0000005,CUST00131,2,Category_Browse,2025-01-08 02:14:44,Mobile,Organic,275,2,2,104.0
SESS0000005,CUST00131,3,Product_View,2025-01-08 02:16:05,Mobile,Organic,219,2,2,81.0
SESS0000005,CUST00131,4,Add_to_Cart,2025-01-08 02:16:49,Mobile,Organic,217,2,2,44.0
SESS0000005,CUST00131,5,Exit,2025-01-08 02:17:09,Mobile,Organic,0,2,2,20.0
SESS0000006,CUST00953,1,Homepage,2025-05-10 19:01:00,Desktop,Paid_Search,45,19,5,0.0
SESS0000006,CUST00953,2,Category_Browse,2025-05-10 19:01:38,Desktop,Paid_Search,19,19,5,38.0
SESS0000006,CUST00953,3,Product_View,2025-05-10 19:02:32,Desktop,Paid_Search,69,19,5,54.0
SESS0000006,CUST00953,4,Add_to_Cart,2025-05-10 19:03:01,Desktop,Paid_Search,13,19,5,29.0
SESS0000006,CUST00953,5,Checkout_Start,2025-05-10 19:04:58,Desktop,Paid_Search,133,19,5,117.0
SESS0000006,CUST00953,6,Payment_Info,2025-05-10 19:07:43,Desktop,Paid_Search,67,19,5,165.0
SESS0000006,CUST00953,7,Exit,2025-05-10 19:07:58,Desktop,Paid_Search,0,19,5,15.0
SESS0000007,CUST02299,1,Homepage,2025-02-20 22:41:00,Mobile,Social,45,22,3,0.0
SESS0000007,CUST02299,2,Category_Browse,2025-02-20 22:41:37,Mobile,Social,139,22,3,37.0
SESS0000007,CUST02299,3,Product_View,2025-02-20 22:42:59,Mobile,Social,272,22,3,82.0
SESS0000007,CUST02299,4,Add_to_Cart,2025-02-20 22:43:37,Mobile,Social,37,22,3,38.0
SESS0000007,CUST02299,5,Exit,2025-02-20 22:44:29,Mobile,Social,0,22,3,52.0
SESS0000008,CUST02873,1,Homepage,2025-05-20 13:14:00,Mobile,Social,39,13,1,0.0
SESS0000008,CUST02873,2,Search,2025-05-20 13:14:05,Mobile,Social,231,13,1,5.0
SESS0000008,CUST02873,3,Product_View,2025-05-20 13:15:55,Mobile,Social,135,13,1,110.0
SESS0000008,CUST02873,4,Add_to_Cart,2025-05-20 13:16:00,Mobile,Social,9,13,1,5.0
SESS0000008,CUST02873,5,Exit,2025-05-20 13:16:30,Mobile,Social,0,13,1,30.0
SESS0000009,CUST01840,1,Homepage,2025-05-31 08:51:00,Mobile,Organic,183,8,5,0.0
SESS0000009,CUST01840,2,Search,2025-05-31 08:51:36,Mobile,Organic,235,8,5,36.0
SESS0000009,CUST01840,3,Product_View,2025-05-31 08:52:37,Mobile,Organic,100,8,5,61.0
SESS0000009,CUST01840,4,Product_View,2025-05-31 08:52:50,Mobile,Organic,226,8,5,13.0
SESS0000009,CUST01840,5,Add_to_Cart,2025-05-31 08:53:31,Mobile,Organic,235,8,5,41.0
SESS0000009,CUST01840,6,Checkout_Start,2025-05-31 08:56:23,Mobile,Organic,175,8,5,172.0
SESS0000009,CUST01840,7,Payment_Info,2025-05-31 08:57:21,Mobile,Organic,40,8,5,58.0
SESS0000009,CUST01840,8,Order_Complete,2025-05-31 08:57:38,Mobile,Organic,164,8,5,17.0
SESS0000010,CUST00027,1,Homepage,2025-02-10 22:27:00,Desktop,Social,138,22,0,0.0
SESS0000010,CUST00027,2,Search,2025-02-10 22:27:32,Desktop,Social,32,22,0,32.0
SESS0000010,CUST00027,3,Product_View,2025-02-10 22:29:29,Desktop,Social,48,22,0,117.0
SESS0000010,CUST00027,4,Add_to_Cart,2025-02-10 22:29:53,Desktop,Social,290,22,0,24.0
SESS0000010,CUST00027,5,Exit,2025-02-10 22:30:08,Desktop,Social,0,22,0,15.0
SESS0000011,CUST01394,1,Homepage,2025-03-13 04:13:00,Mobile,Organic,287,4,3,0.0
SESS0000011,CUST01394,2,Search,2025-03-13 04:13:56,Mobile,Organic,237,4,3,56.0
SESS0000011,CUST01394,3,Product_View,2025-03-13 04:14:08,Mobile,Organic,202,4,3,12.0
SESS0000011,CUST01394,4,Add_to_Cart,2025-03-13 04:14:20,Mobile,Organic,141,4,3,12.0
SESS0000011,CUST01394,5,Checkout_Start,2025-03-13 04:15:51,Mobile,Organic,169,4,3,91.0
SESS0000011,CUST01394,6,Exit,2025-03-13 04:16:28,Mobile,Organic,0,4,3,37.0
SESS0000012,CUST01379,1,Homepage,2025-01-27 02:24:00,Mobile,Paid_Search,237,2,0,0.0
SESS0000012,CUST01379,2,Search,2025-01-27 02:24:56,Mobile,Paid_Search,117,2,0,56.0
SESS0000012,CUST01379,3,Product_View,2025-01-27 02:26:07,Mobile,Paid_Search,56,2,0,71.0
SESS0000012,CUST01379,4,Exit,2025-01-27 02:26:23,Mobile,Paid_Search,0,2,0,16.0
SESS0000013,CUST00397,1,Homepage,2025-04-02 11:38:00,Mobile,Paid_Search,117,11,2,0.0
SESS0000013,CUST00397,2,Search,2025-04-02 11:38:06,Mobile,Paid_Search,134,11,2,6.0
SESS0000013,CUST00397,3,Product_View,2025-04-02 11:39:47,Mobile,Paid_Search,58,11,2,101.0
SESS0000013,CUST00397,4,Exit,2025-04-02 11:40:14,Mobile,Paid_Search,0,11,2,27.0
SESS0000014,CUST01084,1,Homepage,2025-01-12 23:29:00,Mobile,Direct,164,23,6,0.0
SESS0000014,CUST01084,2,Search,2025-01-12 23:29:10,Mobile,Direct,251,23,6,10.0
SESS0000014,CUST01084,3,Exit,2025-01-12 23:29:18,Mobile,Direct,0,23,6,8.0
SESS0000015,CUST02197,1,Homepage,2025-02-01 12:05:00,Mobile,Paid_Search,102,12,5,0.0
SESS0000015,CUST02197,2,Search,2025-02-01 12:05:10,Mobile,Paid_Search,244,12,5,10.0
SESS0000015,CUST02197,3,Product_View,2025-02-01 12:05:35,Mobile,Paid_Search,101,12,5,25.0
SESS0000015,CUST02197,4,Add_to_Cart,2025-02-01 12:05:48,Mobile,Paid_Search,128,12,5,13.0
SESS0000015,CUST02197,5,Checkout_Start,2025-02-01 12:07:27,Mobile,Paid_Search,263,12,5,99.0
SESS0000015,CUST02197,6,Exit,2025-02-01 12:07:51,Mobile,Paid_Search,0,12,5,24.0
SESS0000016,CUST02262,1,Homepage,2025-03-17 20:39:00,Mobile,Organic,203,20,0,0.0
SESS0000016,CUST02262,2,Search,2025-03-17 20:39:56,Mobile,Organic,132,20,0,56.0
SESS0000016,CUST02262,3,Product_View,2025-03-17 20:40:44,Mobile,Organic,133,20,0,48.0
SESS0000016,CUST02262,4,Add_to_Cart,2025-03-17 20:40:59,Mobile,Organic,155,20,0,15.0
SESS0000016,CUST02262,5,Checkout_Start,2025-03-17 20:42:10,Mobile,Organic,103,20,0,71.0
SESS0000016,CUST02262,6,Exit,2025-03-17 20:42:21,Mobile,Organic,0,20,0,11.0
SESS0000017,CUST01482,1,Homepage,2025-05-28 06:45:00,Desktop,Email,258,6,2,0.0
SESS0000017,CUST01482,2,Search,2025-05-28 06:45:16,Desktop,Email,41,6,2,16.0
SESS0000017,CUST01482,3,Product_View,2025-05-28 06:45:57,Desktop,Email,13,6,2,41.0
SESS0000017,CUST01482,4,Exit,2025-05-28 06:46:42,Desktop,Email,0,6,2,45.0
SESS0000018,CUST00285,1,Homepage,2025-01-12 21:14:00,Mobile,Social,120,21,6,0.0
SESS0000018,CUST00285,2,Category_Browse,2025-01-12 21:15:24,Mobile,Social,117,21,6,84.0
SESS0000018,CUST00285,3,Product_View,2025-01-12 21:16:45,Mobile,Social,108,21,6,81.0
SESS0000018,CUST00285,4,Add_to_Cart,2025-01-12 21:17:09,Mobile,Social,258,21,6,24.0
SESS0000018,CUST00285,5,Checkout_Start,2025-01-12 21:19:30,Mobile,Social,103,21,6,141.0
SESS0000018,CUST00285,6,Exit,2025-01-12 21:19:59,Mobile,Social,0,21,6,29.0
SESS0000019,CUST01186,1,Homepage,2025-01-21 07:55:00,Mobile,Organic,173,7,1,0.0
SESS0000019,CUST01186,2,Category_Browse,2025-01-21 07:56:49,Mobile,Organic,165,7,1,109.0
SESS0000019,CUST01186,3,Product_View,2025-01-21 07:58:06,Mobile,Organic,293,7,1,77.0
SESS0000019,CUST01186,4,Add_to_Cart,2025-01-21 07:58:24,Mobile,Organic,281,7,1,18.0
SESS0000019,CUST01186,5,Exit,2025-01-21 07:59:16,Mobile,Organic,0,7,1,52.0
SESS0000020,CUST00414,1,Homepage,2025-04-08 08:29:00,Desktop,Social,26,8,1,0.0
SESS0000020,CUST00414,2,Search,2025-04-08 08:29:50,Desktop,Social,162,8,1,50.0
SESS0000020,CUST00414,3,Product_View,2025-04-08 08:30:37,Desktop,Social,234,8,1,47.0
SESS0000020,CUST00414,4,Add_to_Cart,2025-04-08 08:31:26,Desktop,Social,55,8,1,49.0
SESS0000020,CUST00414,5,Exit,2025-04-08 08:32:24,Desktop,Social,0,8,1,58.0
SESS0000021,CUST02604,1,Homepage,2025-04-04 05:23:00,Desktop,Paid_Search,151,5,4,0.0
SESS0000021,CUST02604,2,Category_Browse,2025-04-04 05:23:13,Desktop,Paid_Search,39,5,4,13.0
SESS0000021,CUST02604,3,Product_View,2025-04-04 05:24:26,Desktop,Paid_Search,53,5,4,73.0
SESS0000021,CUST02604,4,Add_to_Cart,2025-04-04 05:24:47,Desktop,Paid_Search,176,5,4,21.0
SESS0000021,CUST02604,5,Exit,2025-04-04 05:25:19,Desktop,Paid_Search,0,5,4,32.0
SESS0000022,CUST01456,1,Homepage,2025-02-23 21:17:00,Mobile,Organic,185,21,6,0.0
SESS0000022,CUST01456,2,Category_Browse,2025-02-23 21:18:44,Mobile,Organic,103,21,6,104.0
SESS0000022,CUST01456,3,Product_View,2025-02-23 21:19:53,Mobile,Organic,120,21,6,69.0
SESS0000022,CUST01456,4,Add_to_Cart,2025-02-23 21:20:18,Mobile,Organic,165,21,6,25.0
SESS0000022,CUST01456,5,Exit,2025-02-23 21:20:25,Mobile,Organic,0,21,6,7.0
SESS0000023,CUST02875,1,Homepage,2025-06-24 20:04:00,Mobile,Paid_Search,284,20,1,0.0
SESS0000023,CUST02875,2,Search,2025-06-24 20:04:54,Mobile,Paid_Search,292,20,1,54.0
SESS0000023,CUST02875,3,Product_View,2025-06-24 20:05:50,Mobile,Paid_Search,155,20,1,56.0
SESS0000023,CUST02875,4,Add_to_Cart,2025-06-24 20:05:56,Mobile,Paid_Search,131,20,1,6.0
SESS0000023,CUST02875,5,Exit,2025-06-24 20:06:27,Mobile,Paid_Search,0,20,1,31.0
SESS0000024,CUST02496,1,Homepage,2025-06-12 05:34:00,Mobile,Paid_Search,43,5,3,0.0
SESS0000024,CUST02496,2,Category_Browse,2025-06-12 05:35:42,Mobile,Paid_Search,174,5,3,102.0
SESS0000024,CUST02496,3,Exit,2025-06-12 05:36:41,Mobile,Paid_Search,0,5,3,59.0
SESS0000025,CUST02987,1,Homepage,2025-03-04 05:29:00,Mobile,Organic,40,5,1,0.0
SESS0000025,CUST02987,2,Search,2025-03-04 05:29:49,Mobile,Organic,24,5,1,49.0
SESS0000025,CUST02987,3,Exit,2025-03-04 05:29:54,Mobile,Organic,0,5,1,5.0
SESS0000026,CUST01555,1,Homepage,2025-03-11 20:44:00,Mobile,Paid_Search,292,20,1,0.0
SESS0000026,CUST01555,2,Search,2025-03-11 20:44:27,Mobile,Paid_Search,55,20,1,27.0
SESS0000026,CUST01555,3,Product_View,2025-03-11 20:45:01,Mobile,Paid_Search,190,20,1,34.0
SESS0000026,CUST01555,4,Product_View,2025-03-11 20:46:13,Mobile,Paid_Search,194,20,1,72.0
SESS0000026,CUST01555,5,Add_to_Cart,2025-03-11 20:46:39,Mobile,Paid_Search,62,20,1,26.0
SESS0000026,CUST01555,6,Checkout_Start,2025-03-11 20:48:34,Mobile,Paid_Search,184,20,1,115.0
SESS0000026,CUST01555,7,Payment_Info,2025-03-11 20:50:13,Mobile,Paid_Search,275,20,1,99.0
SESS0000026,CUST01555,8,Order_Complete,2025-03-11 20:51:11,Mobile,Paid_Search,105,20,1,58.0
SESS0000027,CUST02282,1,Homepage,2025-02-26 21:20:00,Mobile,Email,51,21,2,0.0
SESS0000027,CUST02282,2,Search,2025-02-26 21:20:39,Mobile,Email,148,21,2,39.0
SESS0000027,CUST02282,3,Product_View,2025-02-26 21:21:01,Mobile,Email,128,21,2,22.0
SESS0000027,CUST02282,4,Add_to_Cart,2025-02-26 21:21:47,Mobile,Email,162,21,2,46.0
SESS0000027,CUST02282,5,Exit,2025-02-26 21:22:10,Mobile,Email,0,21,2,23.0
SESS0000028,CUST00230,1,Homepage,2025-02-28 01:51:00,Desktop,Organic,121,1,4,0.0
SESS0000028,CUST00230,2,Search,2025-02-28 01:51:27,Desktop,Organic,131,1,4,27.0
