customer_id,engagement_score,past_purchases,account_age_days,device_type,received_personalization,made_purchase,revenue
CUST00001,0.354,1,360,Mobile,1,1,67.39
CUST00002,0.286,0,729,Mobile,1,0,0.0
CUST00003,0.085,2,417,Tablet,0,0,0.0
CUST00004,0.408,3,591,Desktop,1,0,0.0
CUST00005,0.142,1,731,Mobile,1,0,0.0
CUST00006,0.571,2,868,Mobile,1,0,0.0
CUST00007,0.111,6,532,Mobile,1,0,0.0
CUST00008,0.142,6,583,Mobile,1,0,0.0
CUST00009,0.255,4,272,Mobile,0,0,0.0
CUST00010,0.326,5,406,Desktop,1,0,0.0
CUST00011,0.299,2,856,Mobile,1,0,0.0
CUST00012,0.101,1,142,Tablet,1,1,32.98
CUST00013,0.634,3,213,Mobile,0,0,0.0
CUST00014,0.335,3,689,Mobile,1,0,0.0
CUST00015,0.125,5,444,Desktop,1,0,0.0
CUST00016,0.196,3,38,Mobile,0,0,0.0
CUST00017,0.152,7,907,Mobile,0,0,0.0
CUST00018,0.492,5,912,Desktop,1,0,0.0
CUST00019,0.227,4,845,Mobile,1,0,0.0
CUST00020,0.19,4,157,Mobile,1,0,0.0
CUST00021,0.493,3,275,Mobile,1,0,0.0
CUST00022,0.285,6,121,Desktop,1,0,0.0
CUST00023,0.165,2,812,Mobile,1,0,0.0
CUST00024,0.125,1,76,Desktop,1,1,84.41
CUST00025,0.268,1,937,Mobile,1,1,149.01
CUST00026,0.516,5,105,Desktop,1,1,59.86
CUST00027,0.175,2,787,Desktop,1,0,0.0
CUST00028,0.251,1,788,Tablet,0,0,0.0
CUST00029,0.206,5,314,Mobile,1,1,266.5
CUST00030,0.374,1,447,Mobile,1,0,0.0
CUST00031,0.364,6,125,Mobile,0,0,0.0
CUST00032,0.548,5,425,Tablet,0,0,0.0
CUST00033,0.255,1,425,Mobile,0,0,0.0
CUST00034,0.298,1,162,Desktop,1,0,0.0
CUST00035,0.269,3,58,Mobile,0,0,0.0
CUST00036,0.496,2,474,Mobile,0,0,0.0
CUST00037,0.348,6,534,Mobile,1,0,0.0
