session_id,customer_id,current_product_id,current_category,current_price,prev_product_1,prev_product_2,prev_product_3,products_in_cart,device_type,traffic_source,time_on_page_sec,scroll_depth,clicked_product_image,session_length_mins,products_viewed_count,recommendation_clicked
SESS000001,CUST02620,PROD0029,Electronics,16.34,PROD0007,NONE,NONE,1,Mobile,Direct,77,0.18,0,14,2,0
SESS000002,CUST01127,PROD0063,Home,30.68,PROD0058,NONE,NONE,2,Mobile,Organic,12,0.77,0,17,2,1
SESS000003,CUST00572,PROD0189,Sports,65.11,PROD0027,PROD0174,PROD0190,0,Mobile,Paid,220,0.75,0,26,4,1
SESS000004,CUST02234,PROD0023,Sports,22.1,PROD0152,PROD0109,PROD0009,1,Mobile,Social,278,0.5,0,23,6,1
SESS000005,CUST00123,PROD0024,Electronics,60.8,PROD0056,PROD0060,PROD0130,0,Mobile,Paid,235,0.18,0,10,7,1
SESS000006,CUST02466,PROD0007,Electronics,7.76,PROD0144,PROD0051,NONE,1,Mobile,Paid,150,0.18,0,10,3,0
SESS000007,CUST02933,PROD0167,Home,71.77,PROD0180,NONE,NONE,0,Desktop,Paid,10,0.91,0,19,2,1
SESS000008,CUST02233,PROD0108,Electronics,28.94,PROD0057,PROD0115,PROD0151,0,Mobile,Organic,202,0.43,0,33,5,0
SESS000009,CUST01140,PROD0002,Home,70.47,PROD0195,PROD0041,PROD0179,1,Mobile,Direct,247,0.12,1,24,7,0
SESS000010,CUST01732,PROD0088,Clothing,28.48,PROD0072,PROD0040,PROD0056,0,Desktop,Paid,122,0.33,0,11,4,0
SESS000011,CUST01379,PROD0027,Home,79.9,PROD0024,NONE,NONE,0,Desktop,Paid,137,0.27,0,8,2,0
SESS000012,CUST01557,PROD0025,Electronics,31.77,PROD0092,NONE,NONE,1,Mobile,Organic,42,0.62,0,1,2,0
SESS000013,CUST01409,PROD0155,Sports,150.94,PROD0068,PROD0012,PROD0187,0,Mobile,Organic,176,0.28,1,10,5,1
SESS000014,CUST01882,PROD0138,Books,737.44,PROD0032,PROD0097,NONE,0,Mobile,Organic,42,0.47,0,9,3,0
SESS000015,CUST00323,PROD0142,Books,28.68,PROD0076,PROD0161,PROD0159,1,Desktop,Email,141,0.28,0,14,5,0
SESS000016,CUST01482,PROD0148,Home,65.74,PROD0050,PROD0181,NONE,1,Desktop,Organic,274,0.82,1,29,3,1
SESS000017,CUST00285,PROD0012,Clothing,53.31,NONE,NONE,NONE,2,Mobile,Social,93,0.71,0,4,1,0
SESS000018,CUST02709,PROD0059,Home,82.26,PROD0198,PROD0075,PROD0021,0,Desktop,Social,157,0.42,0,33,7,0
SESS000019,CUST00954,PROD0026,Home,89.06,PROD0098,PROD0072,NONE,0,Mobile,Organic,71,0.66,0,39,3,1
SESS000020,CUST01858,PROD0163,Home,49.96,PROD0094,PROD0042,PROD0095,0,Desktop,Social,161,0.24,0,30,7,1
SESS000021,CUST01456,PROD0054,Electronics,51.04,PROD0172,NONE,NONE,1,Desktop,Organic,127,0.78,0,22,2,1
SESS000022,CUST01094,PROD0180,Clothing,83.8,PROD0175,PROD0166,PROD0019,0,Mobile,Paid,161,0.31,1,15,5,0
SESS000023,CUST02496,PROD0163,Home,49.96,PROD0044,NONE,NONE,0,Desktop,Social,73,0.84,1,36,2,1
SESS000024,CUST02188,PROD0187,Home,66.75,PROD0063,PROD0042,PROD0119,1,Mobile,Paid,222,0.63,0,26,6,0
SESS000025,CUST01555,PROD0070,Home,27.74,PROD0164,PROD0177,PROD0143,0,Mobile,Direct,137,0.93,1,12,4,1
SESS000026,CUST00900,PROD0176,Books,37.06,PROD0084,PROD0197,PROD0199,2,Desktop,Social,218,0.92,0,29,6,1
