customer_id,nps_score,social_shares,purchase_frequency,customer_tenure_months,email_engagement_score,reviews_written,referral_program_aware,customer_support_contacts,loyalty_program_member,avg_order_value,product_category_diversity,mobile_app_user,community_engagement,referral_likelihood_score,did_refer
CUST00001,6,2,2,7,0.42,1,0,0,0,20.0,1,1,0,0.05,0
CUST00002,6,0,7,4,0.42,0,0,2,1,124.99,4,0,0,0.07,0
CUST00003,7,1,6,2,0.96,2,1,1,1,114.8,2,0,1,0.36,1
CUST00004,6,0,2,14,0.17,1,0,0,1,159.95,3,0,0,0.11,0
CUST00005,6,1,3,30,0.39,1,1,0,0,56.16,2,1,0,0.14,0
CUST00006,9,1,7,4,0.6,1,1,0,1,172.12,4,0,0,0.26,1
CUST00007,7,2,1,14,0.75,0,1,1,0,119.17,2,0,0,0.25,0
CUST00008,7,0,1,16,0.72,0,1,1,0,67.41,3,0,0,0.25,0
CUST00009,7,1,1,5,0.82,0,0,1,0,78.63,4,0,0,0.16,1
CUST00010,10,4,11,1,0.92,4,0,0,1,173.58,3,0,0,0.37,0
CUST00011,0,0,14,16,0.08,0,1,1,1,156.99,1,0,0,0.21,0
CUST00012,10,5,15,2,0.88,3,1,0,1,141.71,5,1,0,0.43,1
CUST00013,9,1,5,11,0.55,1,1,2,1,168.74,2,0,1,0.23,0
CUST00014,9,6,7,7,0.77,1,0,1,0,81.48,1,1,0,0.29,1
CUST00015,7,3,3,4,0.81,0,0,1,0,84.34,1,1,1,0.22,0
CUST00016,7,1,3,14,0.79,0,1,1,0,161.3,1,0,0,0.25,1
CUST00017,3,0,2,78,0.36,0,0,1,1,114.22,3,0,1,0.13,0
CUST00018,4,0,2,7,0.26,0,1,0,1,149.8,2,1,1,0.16,0
CUST00019,2,0,2,12,0.45,0,0,1,1,136.29,4,0,0,0.11,0
CUST00020,9,4,5,55,0.49,2,1,0,0,120.95,5,1,0,0.35,0
CUST00021,7,2,6,20,0.67,1,0,0,1,83.0,1,1,0,0.18,0
CUST00022,8,0,4,2,0.7,2,1,0,0,181.21,1,0,0,0.3,1
CUST00023,3,1,4,10,0.12,1,1,0,1,130.08,1,0,1,0.16,0
CUST00024,8,5,3,8,0.9,1,0,3,1,93.03,3,0,0,0.21,0
CUST00025,8,5,5,8,0.77,0,1,0,1,132.4,2,0,0,0.36,1
CUST00026,9,7,4,3,0.91,1,0,1,0,144.1,3,0,1,0.27,0
CUST00027,8,2,10,26,0.75,1,0,2,0,187.61,2,1,1,0.23,0
CUST00028,4,1,3,7,0.04,0,0,0,0,136.5,1,0,1,0.07,0
CUST00029,8,1,1,4,0.7,1,1,0,1,73.41,3,0,1,0.3,0
CUST00030,2,0,5,22,0.23,0,0,0,1,145.95,2,0,0,0.15,0
CUST00031,7,1,4,8,0.83,1,1,1,0,71.33,1,0,0,0.22,0
CUST00032,7,1,10,2,0.85,0,0,0,0,109.27,1,1,0,0.2,0
CUST00033,7,2,2,22,0.89,0,0,1,0,85.65,2,0,0,0.19,0
CUST00034,6,1,1,213,0.1,1,1,0,1,102.7,3,1,0,0.17,0
CUST00035,6,3,3,11,0.21,1,0,0,1,133.04,2,1,0,0.12,0
CUST00036,7,2,17,10,0.87,1,0,2,1,157.04,2,0,1,0.2,0
CUST00037,7,3,6,3,0.81,0,1,0,1,107.86,3,0,0,0.33,0
CUST00038,8,3,1,3,0.93,1,1,0,0,187.32,1,1,1,0.31,0
CUST00039,8,3,1,79,0.74,0,1,2,0,234.24,2,0,0,0.27,0
CUST00040,0,0,5,25,0.17,0,1,0,0,20.0,4,0,0,0.18,0
CUST00041,0,1,3,4,0.1,1,1,0,0,122.66,1,0,0,0.11,1
CUST00042,9,3,1,12,0.8,0,1,0,0,141.84,3,0,0,0.34,1
CUST00043,8,0,1,11,0.89,0,1,2,1,152.08,2,1,0,0.23,0
CUST00044,10,0,1,69,0.75,0,1,0,0,41.09,5,1,0,0.3,0
CUST00045,7,3,2,13,0.65,1,0,0,0,101.18,4,0,0,0.15,0
CUST00046,8,3,4,29,0.73,1,1,0,0,104.34,3,0,0,0.32,1
CUST00047,6,1,3,3,0.62,0,0,1,0,128.06,2,1,0,0.05,0
CUST00048,3,0,3,69,0.09,1,0,1,0,60.63,2,1,0,0.08,0
CUST00049,8,3,2,15,0.63,1,1,3,1,126.02,2,1,1,0.24,0
CUST00050,9,0,1,17,0.41,1,1,0,1,132.02,1,0,1,0.27,1
CUST00051,9,6,6,125,0.93,0,0,0,0,40.86,1,0,0,0.32,1
CUST00052,10,3,2,4,0.92,0,1,1,0,49.35,1,0,0,0.31,0
CUST00053,6,0,3,6,0.15,0,0,0,0,141.21,3,0,1,0.07,0
CUST00054,3,4,1,11,0.1,0,0,0,1,20.0,3,1,0,0.12,0
CUST00055,8,6,1,17,0.62,2,1,0,0,149.19,3,0,1,0.31,0
CUST00056,7,0,6,1,0.73,0,1,0,1,144.21,2,1,1,0.31,1
CUST00057,10,1,3,32,0.92,0,1,3,1,163.43,3,0,0,0.28,1
CUST00058,1,0,11,9,0.32,1,0,0,1,21.05,3,0,1,0.14,0
CUST00059,7,4,3,13,0.66,0,0,2,0,135.42,3,1,0,0.1,0
CUST00060,3,0,4,12,0.5,0,0,0,0,117.76,1,1,0,0.08,0
CUST00061,6,0,2,1,0.05,1,1,0,0,228.09,3,0,0,0.11,0
CUST00062,7,1,3,3,0.55,0,0,1,1,148.05,1,1,0,0.11,0
CUST00063,8,5,3,28,0.51,1,0,0,0,105.58,5,0,0,0.18,0
CUST00064,8,3,4,2,0.82,2,0,0,1,44.91,1,1,0,0.31,0
CUST00065,8,4,6,12,0.92,0,1,2,0,134.57,2,0,1,0.33,0
CUST00066,7,2,2,15,0.9,0,1,0,0,172.24,1,0,0,0.25,0
CUST00067,9,2,1,17,0.64,3,0,0,0,152.74,1,0,0,0.21,0
CUST00068,6,0,3,27,0.6,0,0,0,1,252.2,1,1,1,0.13,1
CUST00069,8,2,6,17,0.7,2,1,1,1,148.74,2,1,0,0.4,0
CUST00070,10,0,1,9,0.72,2,1,1,1,184.58,3,0,1,0.37,1
CUST00071,7,0,1,2,0.92,0,0,0,0,193.89,3,0,0,0.16,0
CUST00072,7,1,7,2,0.38,1,1,3,0,229.79,1,0,0,0.13,0
CUST00073,5,1,2,18,0.36,0,1,0,0,188.15,1,0,0,0.14,0
CUST00074,8,2,6,11,0.64,1,1,3,0,144.86,4,1,0,0.16,0
CUST00075,8,4,1,26,0.51,1,1,0,1,104.07,1,0,0,0.27,0
CUST00076,7,2,4,14,0.85,0,1,3,0,193.76,1,1,0,0.2,0
