customer_id,plan_type,subscription_start_date,months_subscribed,monthly_login_frequency,feature_usage_score,support_tickets_30d,payment_failures,previous_renewal_count,renewal_probability_score,did_renew
CUST00001,Basic,2023-04-25,1,4,0.02,0,2,0,0.56,0
CUST00002,Basic,2023-10-09,8,2,0.14,1,0,0,0.66,1
CUST00003,Basic,2023-08-17,5,5,0.34,1,0,0,0.66,1
CUST00004,Basic,2023-04-15,22,5,0.04,5,0,1,0.6,1
CUST00005,Basic,2024-07-12,3,4,0.19,2,0,0,0.6,0
CUST00006,Pro,2024-03-08,2,7,0.5,0,1,0,0.72,1
CUST00007,Basic,2023-01-31,3,7,0.16,2,0,0,0.6,0
CUST00008,Basic,2023-08-12,8,2,0.55,0,1,0,0.64,0
CUST00009,Basic,2024-06-01,20,5,0.05,0,0,1,0.66,1
CUST00010,Basic,2023-01-28,18,3,0.25,3,0,1,0.6,1
CUST00011,Basic,2023-07-23,23,2,0.01,0,0,1,0.66,0
CUST00012,Basic,2024-07-12,14,6,0.5,0,0,1,0.74,1
CUST00013,Pro,2023-08-14,15,7,0.2,2,0,1,0.68,0
CUST00014,Enterprise,2023-10-12,1,13,0.13,2,0,0,0.86,0
CUST00015,Pro,2023-06-13,23,3,0.05,2,0,1,0.68,1
CUST00016,Basic,2024-03-08,11,5,0.24,2,1,0,0.5,0
CUST00017,Pro,2023-10-12,5,5,0.11,3,1,0,0.58,1
CUST00018,Enterprise,2023-08-09,11,10,0.21,3,0,0,0.86,0
CUST00019,Basic,2023-04-15,3,6,0.4,0,0,0,0.66,0
CUST00020,Pro,2024-01-25,4,7,0.91,0,0,0,0.82,0
CUST00021,Basic,2024-01-03,12,3,0.1,3,1,1,0.5,1
CUST00022,Basic,2023-09-28,2,1,0.32,1,0,0,0.66,1
CUST00023,Basic,2024-04-15,18,7,0.16,0,0,1,0.66,1
CUST00024,Basic,2023-05-08,13,4,0.22,2,0,1,0.6,0
CUST00025,Pro,2023-03-22,18,5,0.44,0,0,1,0.74,1
CUST00026,Basic,2023-10-28,21,6,0.54,1,1,1,0.64,1
CUST00027,Basic,2024-01-06,19,6,0.43,0,0,1,0.66,1
CUST00028,Enterprise,2023-07-16,23,16,0.41,0,1,1,0.82,1
CUST00029,Enterprise,2023-03-13,2,11,0.46,0,0,0,0.92,1
CUST00030,Basic,2023-08-22,10,5,0.11,1,0,0,0.66,0
CUST00031,Pro,2023-03-23,8,5,0.01,2,1,0,0.58,0
CUST00032,Enterprise,2023-04-14,13,15,0.68,0,0,1,0.95,1
CUST00033,Pro,2023-10-12,15,8,0.35,0,2,1,0.64,1
CUST00034,Pro,2024-01-09,6,10,0.41,0,0,0,0.86,0
CUST00035,Enterprise,2024-01-15,12,14,0.11,5,2,1,0.76,0
CUST00036,Basic,2023-08-03,22,1,0.27,0,0,1,0.66,1
CUST00037,Enterprise,2023-10-01,23,12,0.37,2,0,1,0.86,0
CUST00038,Pro,2023-03-15,20,8,0.57,0,1,1,0.72,1
CUST00039,Pro,2023-06-25,18,7,0.83,1,0,1,0.82,1
CUST00040,Basic,2023-09-08,6,6,0.46,0,0,0,0.66,1
CUST00041,Basic,2024-04-18,13,2,0.35,0,0,1,0.66,1
CUST00042,Basic,2023-10-04,21,1,0.2,0,0,1,0.66,1
CUST00043,Basic,2024-07-24,8,3,0.49,1,0,0,0.66,0
CUST00044,Pro,2023-11-29,2,8,0.34,0,0,0,0.74,1
CUST00045,Pro,2023-08-23,2,4,0.07,0,1,0,0.64,1
CUST00046,Pro,2023-11-20,13,8,0.8,1,0,1,0.82,1
CUST00047,Basic,2023-10-02,3,2,0.11,1,0,0,0.66,0
CUST00048,Enterprise,2023-08-05,19,16,0.18,1,0,1,0.92,1
CUST00049,Basic,2023-11-19,7,3,0.24,1,0,0,0.66,1
CUST00050,Basic,2024-05-26,13,2,0.5,1,0,1,0.74,1
CUST00051,Basic,2024-04-14,5,7,0.22,0,1,0,0.56,1
CUST00052,Basic,2023-09-29,5,4,0.25,2,0,0,0.6,1
CUST00053,Pro,2023-09-10,24,10,0.51,2,0,2,0.93,1
CUST00054,Pro,2024-07-28,18,8,0.66,1,0,1,0.82,1
CUST00055,Pro,2023-09-27,24,8,0.16,5,0,2,0.73,1
CUST00056,Pro,2024-08-21,14,13,0.42,0,0,1,0.86,1
CUST00057,Enterprise,2024-08-20,13,10,0.16,0,0,1,0.92,1
CUST00058,Basic,2024-01-06,8,4,0.33,1,0,0,0.66,1
CUST00059,Pro,2023-05-22,17,4,0.34,0,0,1,0.74,1
CUST00060,Pro,2024-05-20,3,8,0.08,2,0,0,0.68,1
CUST00061,Pro,2023-02-18,4,3,0.33,1,1,0,0.64,1
CUST00062,Pro,2023-06-06,21,4,0.09,0,0,1,0.74,1
CUST00063,Enterprise,2023-06-13,22,16,0.49,0,0,1,0.92,1
CUST00064,Basic,2024-03-08,20,5,0.51,0,0,1,0.74,1
CUST00065,Basic,2023-03-07,13,4,0.05,1,0,1,0.66,1
CUST00066,Pro,2024-01-26,20,4,0.43,0,0,1,0.74,0
CUST00067,Basic,2024-04-24,17,2,0.04,0,0,1,0.66,1
CUST00068,Basic,2023-09-15,18,4,0.15,0,0,1,0.66,1
CUST00069,Pro,2023-01-12,22,6,0.21,1,1,1,0.64,0
CUST00070,Basic,2023-04-28,22,3,0.05,1,0,1,0.66,0
CUST00071,Pro,2024-07-03,9,9,0.43,1,0,0,0.74,1
CUST00072,Enterprise,2023-12-15,4,12,0.21,1,0,0,0.92,1
CUST00073,Pro,2023-10-28,14,9,0.27,3,0,1,0.68,1
CUST00074,Enterprise,2023-06-11,15,11,0.16,1,0,1,0.92,1
CUST00075,Basic,2023-01-04,24,6,0.49,0,0,2,0.71,1
CUST00076,Enterprise,2023-09-27,17,14,0.11,0,0,1,0.92,1
CUST00077,Basic,2023-07-02,17,8,0.21,2,1,1,0.5,1
CUST00078,Basic,2023-04-19,21,7,0.21,0,0,1,0.66,0
CUST00079,Basic,2023-11-02,21,7,0.54,2,1,1,0.58,0
CUST00080,Pro,2024-06-03,20,7,0.71,1,0,1,0.82,1
CUST00081,Pro,2023-07-23,5,13,0.36,1,0,0,0.86,1
CUST00082,Pro,2024-01-18,6,7,0.64,0,2,0,0.72,1
CUST00083,Basic,2024-07-06,17,4,0.51,0,0,1,0.74,0
CUST00084,Basic,2023-01-01,20,6,0.52,1,2,1,0.64,1
CUST00085,Enterprise,2023-11-28,16,13,0.32,0,0,1,0.92,1
CUST00086,Pro,2023-01-20,4,7,0.58,0,0,0,0.82,0
CUST00087,Pro,2024-01-07,10,5,0.67,1,0,0,0.82,1
CUST00088,Pro,2023-09-03,2,3,0.14,1,0,0,0.74,1
CUST00089,Pro,2023-09-04,19,7,0.12,3,0,1,0.68,1
CUST00090,Pro,2023-03-22,3,3,0.52,1,0,0,0.82,1
CUST00091,Pro,2024-05-12,3,9,0.58,0,0,0,0.82,1
CUST00092,Enterprise,2024-06-29,5,13,0.18,1,0,0,0.92,1
CUST00093,Basic,2023-05-12,22,6,0.49,1,0,1,0.66,1
CUST00094,Pro,2024-05-01,18,9,0.62,0,0,1,0.82,1
CUST00095,Pro,2023-06-19,9,5,0.36,0,0,0,0.74,1
CUST00096,Basic,2024-06-24,20,3,0.1,1,0,1,0.66,1
CUST00097,Enterprise,2024-03-09,7,21,0.35,0,0,0,0.92,1
CUST00098,Basic,2024-07-06,24,1,0.24,0,0,2,0.71,1
CUST00099,Enterprise,2023-07-25,23,8,0.18,3,2,1,0.64,0
CUST00100,Pro,2023-11-16,13,7,0.32,0,0,1,0.74,0
CUST00101,Basic,2024-01-18,15,7,0.56,0,0,1,0.74,1
CUST00102,Basic,2024-06-13,15,1,0.54,0,0,1,0.74,1
CUST00103,Enterprise,2023-05-04,8,12,0.36,0,0,0,0.92,1
CUST00104,Pro,2023-08-19,3,3,0.31,0,2,0,0.64,1
CUST00105,Basic,2023-12-13,1,3,0.33,0,0,0,0.66,0
CUST00106,Basic,2024-07-21,8,2,0.29,0,0,0,0.66,1
CUST00107,Enterprise,2023-08-14,1,12,0.14,3,0,0,0.86,1
CUST00108,Basic,2023-03-14,23,5,0.46,0,0,1,0.66,1
CUST00109,Basic,2023-03-02,8,4,0.04,1,0,0,0.66,1
CUST00110,Basic,2023-03-11,2,4,0.34,1,0,0,0.66,0
CUST00111,Pro,2023-12-05,3,4,0.18,1,1,0,0.64,1
CUST00112,Pro,2024-06-10,8,11,0.28,0,0,0,0.86,1
CUST00113,Basic,2023-10-13,22,5,0.56,0,1,1,0.64,1
CUST00114,Pro,2024-05-12,7,6,0.3,1,0,0,0.74,1
CUST00115,Basic,2024-07-06,5,8,0.19,2,0,0,0.6,1
CUST00116,Basic,2024-08-07,19,5,0.43,1,0,1,0.66,1
CUST00117,Basic,2024-04-29,8,2,0.03,3,0,0,0.6,1
CUST00118,Basic,2024-04-29,14,4,0.03,1,0,1,0.66,0
CUST00119,Basic,2023-07-14,4,1,0.06,1,0,0,0.66,0
CUST00120,Pro,2023-04-10,22,8,0.46,1,0,1,0.74,1
CUST00121,Basic,2024-03-17,12,3,0.08,2,0,1,0.6,1
CUST00122,Basic,2024-03-09,14,4,0.14,3,0,1,0.6,1
CUST00123,Basic,2024-04-23,24,3,0.2,1,0,2,0.71,1
CUST00124,Pro,2023-02-25,22,5,0.02,3,0,1,0.68,0
CUST00125,Pro,2023-04-11,2,6,0.67,0,0,0,0.82,1
CUST00126,Pro,2024-02-17,24,12,0.52,0,0,2,0.95,1
CUST00127,Enterprise,2023-12-14,4,9,0.45,2,1,0,0.64,1
CUST00128,Pro,2023-09-12,7,10,0.56,0,1,0,0.84,1
CUST00129,Pro,2023-07-14,18,10,0.68,0,1,1,0.84,1
CUST00130,Pro,2024-04-04,5,6,0.18,1,0,0,0.74,0
CUST00131,Enterprise,2024-03-08,6,11,0.44,0,0,0,0.92,1
CUST00132,Pro,2023-10-13,15,6,0.38,1,0,1,0.74,0
CUST00133,Basic,2023-09-13,3,1,0.09,2,0,0,0.6,1
CUST00134,Basic,2024-03-29,18,7,0.58,0,0,1,0.74,1
CUST00135,Basic,2023-04-11,2,2,0.02,1,0,0,0.66,0
CUST00136,Basic,2024-07-07,1,6,0.2,1,0,0,0.66,1
CUST00137,Pro,2023-04-06,8,5,0.11,3,0,0,0.68,1
CUST00138,Basic,2023-06-20,14,4,0.41,0,2,1,0.56,0
CUST00139,Enterprise,2024-05-12,16,9,0.14,2,0,1,0.74,1
CUST00140,Basic,2023-08-07,13,4,0.47,0,0,1,0.66,1
CUST00141,Basic,2023-03-02,6,5,0.26,0,0,0,0.66,0
CUST00142,Basic,2024-01-24,1,2,0.13,1,1,0,0.56,0
CUST00143,Enterprise,2024-02-04,9,9,0.22,2,0,0,0.74,0
CUST00144,Basic,2024-04-10,10,5,0.34,1,1,0,0.56,1
CUST00145,Basic,2024-03-09,23,7,0.36,0,0,1,0.66,1
CUST00146,Basic,2024-07-23,22,8,0.24,2,1,1,0.5,1
CUST00147,Pro,2024-05-13,5,12,0.62,0,0,0,0.94,1
CUST00148,Basic,2023-07-14,10,8,0.1,0,1,0,0.56,1
CUST00149,Pro,2023-08-11,2,6,0.76,1,0,0,0.82,1
CUST00150,Enterprise,2024-08-16,24,14,0.52,0,0,2,0.95,0
CUST00151,Basic,2024-07-09,2,1,0.37,0,1,0,0.56,0
CUST00152,Pro,2023-11-18,2,7,0.61,0,0,0,0.82,1
CUST00153,Pro,2023-02-21,19,9,0.31,0,2,1,0.64,0
CUST00154,Pro,2024-05-03,17,5,0.39,1,0,1,0.74,1
CUST00155,Basic,2024-06-27,6,7,0.14,1,0,0,0.66,0
CUST00156,Pro,2023-02-28,17,7,0.41,0,0,1,0.74,1
CUST00157,Basic,2023-03-24,6,2,0.0,2,2,0,0.5,1
CUST00158,Basic,2023-03-12,20,3,0.56,2,0,1,0.68,1
CUST00159,Basic,2023-03-11,22,8,0.28,2,0,1,0.6,1
CUST00160,Basic,2023-08-29,13,3,0.02,2,0,1,0.6,0
CUST00161,Enterprise,2023-05-03,19,13,0.35,0,0,1,0.92,1
CUST00162,Basic,2023-09-10,19,2,0.33,1,1,1,0.56,0
CUST00163,Basic,2023-02-10,20,5,0.72,0,0,1,0.74,1
CUST00164,Pro,2023-03-25,14,6,0.15,0,0,1,0.74,1
CUST00165,Pro,2024-08-20,19,8,0.63,0,0,1,0.82,1
CUST00166,Basic,2024-06-19,11,4,0.48,1,1,0,0.56,0
CUST00167,Basic,2023-09-25,7,5,0.12,1,0,0,0.66,1
CUST00168,Basic,2023-11-18,8,4,0.22,2,0,0,0.6,0
CUST00169,Enterprise,2023-09-29,13,13,0.13,2,2,1,0.76,0
CUST00170,Pro,2023-05-15,22,9,0.46,0,0,1,0.74,1
CUST00171,Basic,2023-11-04,15,7,0.39,0,0,1,0.66,0
CUST00172,Basic,2023-11-20,3,5,0.12,1,0,0,0.66,1
CUST00173,Pro,2023-01-10,15,6,0.28,5,0,1,0.68,1
CUST00174,Basic,2024-07-30,4,2,0.1,2,2,0,0.5,0
CUST00175,Basic,2023-03-17,18,4,0.09,2,0,1,0.6,0
CUST00176,Basic,2023-08-07,17,5,0.39,1,0,1,0.66,1
CUST00177,Pro,2023-09-29,5,8,0.17,0,0,0,0.74,1
CUST00178,Pro,2023-12-24,3,1,0.25,0,0,0,0.74,0
CUST00179,Basic,2023-09-08,12,2,0.39,2,1,1,0.5,1
CUST00180,Enterprise,2023-10-19,6,12,0.49,1,2,0,0.82,1
CUST00181,Enterprise,2024-03-24,18,14,0.47,0,2,1,0.82,1
CUST00182,Basic,2023-11-06,20,3,0.03,1,0,1,0.66,1
CUST00183,Enterprise,2024-06-25,1,9,0.73,1,0,0,0.88,1
CUST00184,Pro,2024-07-21,10,5,0.26,1,0,0,0.74,1
CUST00185,Basic,2023-04-17,5,3,0.23,3,0,0,0.6,0
CUST00186,Pro,2023-09-28,4,5,0.1,2,0,0,0.68,1
CUST00187,Basic,2023-04-20,24,4,0.37,0,0,2,0.71,1
CUST00188,Basic,2024-07-20,5,4,0.45,2,2,0,0.5,1
CUST00189,Basic,2023-10-06,10,2,0.22,2,0,0,0.6,1
CUST00190,Basic,2023-08-04,23,5,0.03,2,2,1,0.5,0
CUST00191,Basic,2023-12-18,7,3,0.17,0,0,0,0.66,1
CUST00192,Basic,2023-09-28,17,5,0.84,3,0,1,0.68,1
CUST00193,Basic,2024-05-15,9,4,0.37,1,0,0,0.66,0
CUST00194,Basic,2023-02-22,3,5,0.0,2,0,0,0.6,1
CUST00195,Basic,2024-03-09,9,4,0.3,0,1,0,0.56,0
CUST00196,Basic,2023-02-15,1,7,0.39,0,0,0,0.66,1
CUST00197,Enterprise,2023-12-08,5,7,0.1,3,0,0,0.74,0
CUST00198,Basic,2023-09-26,6,8,0.43,0,0,0,0.66,1
CUST00199,Enterprise,2024-03-28,18,12,0.25,2,1,1,0.76,1
CUST00200,Basic,2024-03-13,18,1,0.03,0,0,1,0.66,1
CUST00201,Basic,2023-01-10,4,4,0.0,2,0,0,0.6,0
CUST00202,Pro,2023-03-19,23,10,0.14,1,0,1,0.86,1
CUST00203,Basic,2023-06-02,18,4,0.2,3,1,1,0.5,0
CUST00204,Pro,2023-02-06,12,13,0.55,0,1,1,0.84,1
CUST00205,Pro,2024-08-19,18,11,0.26,1,0,1,0.86,1
CUST00206,Enterprise,2023-06-01,14,9,0.55,1,0,1,0.88,1
CUST00207,Basic,2023-05-11,2,5,0.45,0,0,0,0.66,1
CUST00208,Enterprise,2023-11-12,12,13,0.12,0,0,1,0.92,1
CUST00209,Basic,2023-02-10,12,3,0.77,0,0,1,0.74,1
CUST00210,Basic,2023-08-04,22,3,0.32,1,0,1,0.66,1
CUST00211,Enterprise,2023-09-13,22,10,0.1,0,2,1,0.82,1
CUST00212,Pro,2023-04-16,12,8,0.51,0,0,1,0.82,1
CUST00213,Basic,2024-07-27,14,0,0.21,2,1,1,0.5,1
CUST00214,Pro,2023-06-08,8,4,0.36,0,0,0,0.74,1
CUST00215,Pro,2023-06-16,6,8,0.64,0,0,0,0.82,1
CUST00216,Pro,2024-02-27,1,13,0.21,1,1,0,0.76,1
CUST00217,Pro,2023-07-03,24,9,0.58,0,0,2,0.87,1
CUST00218,Enterprise,2023-12-07,14,7,0.59,0,0,1,0.88,1
CUST00219,Pro,2023-09-12,9,8,0.38,0,1,0,0.64,0
CUST00220,Basic,2023-06-13,23,4,0.2,1,1,1,0.56,0
CUST00221,Pro,2023-04-21,13,9,0.42,0,0,1,0.74,1
CUST00222,Enterprise,2023-02-09,16,9,0.39,0,0,1,0.8,1
CUST00223,Basic,2023-08-16,7,5,0.14,1,1,0,0.56,0
CUST00224,Pro,2024-04-16,12,5,0.05,1,0,1,0.74,1
CUST00225,Basic,2023-11-09,8,3,0.44,1,1,0,0.56,0
CUST00226,Pro,2023-08-17,1,8,0.57,1,0,0,0.82,1
CUST00227,Basic,2023-07-17,13,5,0.09,0,0,1,0.66,1
CUST00228,Pro,2023-12-03,9,5,0.0,0,0,0,0.74,1
CUST00229,Pro,2023-03-13,9,10,0.42,1,0,0,0.86,1
CUST00230,Basic,2023-12-26,21,3,0.05,2,0,1,0.6,1
CUST00231,Pro,2024-06-05,13,11,0.14,4,0,1,0.8,1
CUST00232,Basic,2024-07-03,11,1,0.08,1,1,0,0.56,0
CUST00233,Basic,2023-01-29,4,6,0.08,2,0,0,0.6,1
CUST00234,Basic,2023-09-25,6,5,0.0,2,1,0,0.5,0
CUST00235,Pro,2024-08-17,9,15,0.49,0,0,0,0.86,1
CUST00236,Pro,2023-02-09,4,9,0.14,2,0,0,0.68,0
CUST00237,Pro,2024-03-20,12,13,0.25,2,1,1,0.7,0
CUST00238,Basic,2023-11-18,14,4,0.42,1,0,1,0.66,1
CUST00239,Enterprise,2024-06-07,4,19,0.42,0,0,0,0.92,1
CUST00240,Enterprise,2024-01-30,19,11,0.24,0,0,1,0.92,1
CUST00241,Pro,2023-07-14,9,6,0.52,1,0,0,0.82,1
CUST00242,Basic,2023-02-15,23,3,0.2,1,0,1,0.66,1
CUST00243,Pro,2024-03-22,1,14,0.2,1,0,0,0.86,1
CUST00244,Basic,2024-06-16,18,5,0.34,0,0,1,0.66,1
CUST00245,Basic,2023-07-21,12,3,0.38,0,0,1,0.66,1
CUST00246,Pro,2024-03-17,3,7,0.51,0,1,0,0.72,0
CUST00247,Pro,2023-12-05,20,7,0.3,0,0,1,0.74,0
CUST00248,Basic,2023-11-18,22,7,0.34,0,0,1,0.66,1
CUST00249,Pro,2023-05-08,24,4,0.08,1,0,2,0.79,1
CUST00250,Pro,2023-11-04,17,9,0.61,0,2,1,0.72,1
CUST00251,Enterprise,2023-11-13,22,9,0.1,2,0,1,0.74,0
CUST00252,Basic,2024-02-23,11,6,0.13,1,0,0,0.66,0
CUST00253,Basic,2024-02-17,23,1,0.24,3,0,1,0.6,0
CUST00254,Pro,2023-10-30,18,2,0.24,3,0,1,0.68,1
CUST00255,Basic,2023-05-11,7,3,0.61,0,0,0,0.74,1
