transaction_id,customer_id,transaction_date,product_id,product_category,product_name,quantity,unit_price,total_amount,payment_method,order_status
TXN000001,CUST00001,06-03-2023,PROD_049,Health & Wellness,Vitamins,2,48.29,96.58,Debit Card,Completed
TXN000002,CUST00001,25-08-2024,PROD_008,Food & Beverages,Coffee,1,32.52,32.52,Debit Card,Completed
TXN000003,CUST00002,29-09-2024,PROD_031,Home & Garden,Rug,1,127.35,127.35,Credit Card,Completed
TXN000004,CUST00002,20-05-2024,PROD_001,Toys & Games,Action Figure,1,12.61,12.61,Credit Card,Returned
TXN000005,CUST00002,23-08-2024,PROD_048,Toys & Games,Video Game,1,28.26,28.26,Debit Card,Completed
TXN000006,CUST00002,24-09-2024,PROD_052,Food & Beverages,Wine,1,18.26,18.26,Debit Card,Completed
TXN000007,CUST00002,23-10-2024,PROD_018,Health & Wellness,Fitness Tracker,1,194.43,194.43,Debit Card,Completed
TXN000008,CUST00003,06-02-2022,PROD_009,Books,Cookbook,1,24.03,24.03,Debit Card,Completed
TXN000009,CUST00003,18-01-2022,PROD_053,Sports & Outdoors,Yoga Mat,1,83.82,83.82,Digital Wallet,Completed
TXN000010,CUST00003,04-01-2022,PROD_011,Home & Garden,Cushion,1,154.65,154.65,Digital Wallet,Completed
TXN000011,CUST00003,06-11-2020,PROD_008,Food & Beverages,Coffee,1,37.04,37.04,PayPal,Completed
TXN000012,CUST00003,30-06-2022,PROD_025,Health & Wellness,Massage Device,1,188.52,188.52,Credit Card,Completed
TXN000013,CUST00003,22-01-2022,PROD_011,Home & Garden,Cushion,1,58.06,58.06,Digital Wallet,Completed
TXN000014,CUST00003,04-07-2022,PROD_034,Beauty & Personal Care,Shampoo,1,90.17,90.17,Digital Wallet,Completed
TXN000015,CUST00003,30-12-2021,PROD_030,Toys & Games,Puzzle,1,25.73,25.73,Debit Card,Completed
TXN000016,CUST00003,18-12-2021,PROD_029,Health & Wellness,Protein Powder,1,112.55,112.55,Credit Card,Completed
TXN000017,CUST00003,08-12-2021,PROD_023,Electronics,Laptop,1,1176.61,1176.61,Digital Wallet,Completed
TXN000018,CUST00004,29-12-2022,PROD_019,Electronics,Headphones,1,1253.44,1253.44,Debit Card,Completed
TXN000019,CUST00004,25-07-2022,PROD_012,Clothing,Dress,2,184.46,368.92,PayPal,Returned
TXN000020,CUST00004,10-05-2023,PROD_009,Books,Cookbook,3,20.11,60.34,Debit Card,Completed
TXN000021,CUST00004,13-08-2022,PROD_042,Clothing,Sweater,1,120.96,120.96,Credit Card,Returned
TXN000022,CUST00004,09-02-2023,PROD_019,Electronics,Headphones,1,231.98,231.98,PayPal,Completed
TXN000023,CUST00004,10-08-2023,PROD_021,Clothing,Jeans,1,165.53,165.53,Debit Card,Completed
TXN000024,CUST00004,10-08-2022,PROD_029,Health & Wellness,Protein Powder,1,95.02,95.02,Credit Card,Completed
TXN000025,CUST00004,15-12-2022,PROD_032,Sports & Outdoors,Running Shoes,1,346.36,346.36,Debit Card,Completed
TXN000026,CUST00004,13-03-2023,PROD_047,Home & Garden,Vase,1,183.21,183.21,Credit Card,Completed
TXN000027,CUST00004,11-09-2022,PROD_022,Home & Garden,Lamp,1,249.81,249.81,Debit Card,Completed
TXN000028,CUST00005,14-02-2022,PROD_049,Health & Wellness,Vitamins,1,52.5,52.5,Credit Card,Completed
TXN000029,CUST00006,03-04-2025,PROD_048,Toys & Games,Video Game,1,15.66,15.66,Debit Card,Completed
TXN000030,CUST00006,09-09-2024,PROD_005,Books,Business Book,1,11.17,11.17,Credit Card,Completed
TXN000031,CUST00006,21-09-2024,PROD_032,Sports & Outdoors,Running Shoes,1,171.06,171.06,Credit Card,Completed
TXN000032,CUST00006,13-02-2025,PROD_039,Electronics,Smartwatch,1,1456.03,1456.03,Credit Card,Completed
TXN000033,CUST00006,20-08-2024,PROD_045,Food & Beverages,Tea,1,96.61,96.61,Debit Card,Completed
TXN000034,CUST00009,10-03-2023,PROD_048,Toys & Games,Video Game,1,52.14,52.14,Credit Card,Completed
TXN000035,CUST00009,27-02-2023,PROD_032,Sports & Outdoors,Running Shoes,1,249.61,249.61,Credit Card,Completed
TXN000036,CUST00010,22-03-2024,PROD_028,Home & Garden,Plant,1,88.45,88.45,Credit Card,Returned
TXN000037,CUST00010,25-11-2024,PROD_013,Sports & Outdoors,Dumbbells,1,291.83,291.83,Digital Wallet,Completed
TXN000038,CUST00010,25-04-2025,PROD_009,Books,Cookbook,1,20.55,20.55,PayPal,Completed
TXN000039,CUST00010,15-05-2024,PROD_033,Books,Self-Help Book,1,35.3,35.3,Digital Wallet,Completed
TXN000040,CUST00010,07-06-2024,PROD_027,Beauty & Personal Care,Perfume,1,43.97,43.97,PayPal,Completed
TXN000041,CUST00011,14-10-2023,PROD_020,Clothing,Jacket,1,185.79,185.79,Credit Card,Completed
TXN000042,CUST00011,28-03-2024,PROD_017,Books,Fiction Novel,1,34.16,34.16,Debit Card,Completed
TXN000043,CUST00011,30-12-2022,PROD_027,Beauty & Personal Care,Perfume,2,104.91,209.82,Credit Card,Completed
TXN000044,CUST00012,15-03-2023,PROD_031,Home & Garden,Rug,1,183.06,183.06,Credit Card,Completed
TXN000045,CUST00012,15-04-2024,PROD_035,Clothing,Shoes,2,103.48,206.97,Debit Card,Completed
TXN000046,CUST00012,29-11-2024,PROD_022,Home & Garden,Lamp,3,158.75,476.25,Debit Card,Completed
TXN000047,CUST00012,10-05-2024,PROD_002,Sports & Outdoors,Bicycle,1,298.09,298.09,Credit Card,Completed
TXN000048,CUST00012,28-02-2023,PROD_028,Home & Garden,Plant,2,30.52,61.03,PayPal,Returned
TXN000049,CUST00012,23-06-2023,PROD_045,Food & Beverages,Tea,1,91.39,91.39,Credit Card,Completed
TXN000050,CUST00012,10-03-2023,PROD_053,Sports & Outdoors,Yoga Mat,2,106.85,213.71,Digital Wallet,Completed
TXN000051,CUST00013,06-01-2024,PROD_032,Sports & Outdoors,Running Shoes,1,48.56,48.56,Debit Card,Completed
TXN000052,CUST00013,20-09-2022,PROD_012,Clothing,Dress,1,44.92,44.92,Digital Wallet,Completed
TXN000053,CUST00013,28-01-2024,PROD_014,Toys & Games,Educational Toy,1,18.85,18.85,Credit Card,Completed
TXN000054,CUST00013,16-10-2023,PROD_009,Books,Cookbook,2,25.04,50.08,Debit Card,Completed
TXN000055,CUST00013,13-06-2023,PROD_001,Toys & Games,Action Figure,1,17.22,17.22,Credit Card,Completed
TXN000056,CUST00014,12-02-2025,PROD_008,Food & Beverages,Coffee,1,18.49,18.49,Digital Wallet,Completed
TXN000057,CUST00014,27-06-2024,PROD_047,Home & Garden,Vase,1,145.48,145.48,Credit Card,Completed
TXN000058,CUST00015,01-08-2025,PROD_044,Electronics,Tablet,1,327.77,327.77,Credit Card,Completed
TXN000059,CUST00015,29-07-2025,PROD_048,Toys & Games,Video Game,1,70.88,70.88,PayPal,Completed
TXN000060,CUST00015,01-10-2025,PROD_031,Home & Garden,Rug,1,225.68,225.68,PayPal,Completed
TXN000061,CUST00015,12-09-2025,PROD_029,Health & Wellness,Protein Powder,1,76.89,76.89,Debit Card,Completed
TXN000062,CUST00015,12-04-2025,PROD_003,Books,Biography,1,21.98,21.98,Credit Card,Completed
TXN000063,CUST00015,06-06-2025,PROD_015,Health & Wellness,Essential Oils,1,25.46,25.46,Debit Card,Completed
TXN000064,CUST00015,25-12-2024,PROD_044,Electronics,Tablet,1,1419.45,1419.45,PayPal,Completed
TXN000065,CUST00015,02-06-2024,PROD_022,Home & Garden,Lamp,1,21.66,21.66,PayPal,Completed
TXN000066,CUST00015,18-08-2024,PROD_006,Electronics,Camera,1,1241.59,1241.59,Debit Card,Completed
TXN000067,CUST00015,28-08-2025,PROD_025,Health & Wellness,Massage Device,1,50.08,50.08,Debit Card,Completed
TXN000068,CUST00015,18-08-2024,PROD_024,Beauty & Personal Care,Makeup Kit,1,44.29,44.29,PayPal,Completed
TXN000069,CUST00015,21-10-2025,PROD_003,Books,Biography,1,41.77,41.77,Debit Card,Completed
TXN000070,CUST00016,22-03-2021,PROD_015,Health & Wellness,Essential Oils,1,160.46,160.46,Debit Card,Completed
TXN000071,CUST00016,02-11-2020,PROD_042,Clothing,Sweater,1,56.14,56.14,Debit Card,Completed
